Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
20,3,3,"An der schönen blauen Donau, op. 314 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1947,1
20,4,4,"Geschichten aus dem Wienerwald, op. 325 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1947,1
20,5,5,Руслан и Людмила,Михаил Иванович Глинка,Eugene Ormandy,The Philadelphia Orchestra,1946,1
20,6,6,"Aufforderung zum Tanz, op. 65",Carl Maria von Weber,Eugene Ormandy,The Philadelphia Orchestra,1947,1
20,7,7,Der Freischütz,Carl Maria von Weber,Eugene Ormandy,The Philadelphia Orchestra,1946,1
20,8,8,Schwanda the Bagpiper (Švanda dudák): Polka and Fugue,Jaromír Weinberger,Eugene Ormandy,The Philadelphia Orchestra,1944,1
21,1,4,"Скифская сюита, соч. 20",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1947,4
21,5,8,"Feste romane, P. 157",Ottorino Respighi,Eugene Ormandy,The Philadelphia Orchestra,1946,4
22,1,1,"Passacaglia and Fugue in C minor, BWV 582",Johann Sebastian Bach,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,2,2,"Toccata and Fugue in D minor, BWV 565",Johann Sebastian Bach,Eugene Ormandy,The Philadelphia Orchestra,1947,1
22,3,3,"“Herz und Mund und Tat und Leben”, BWV 147: Jesus bleibet meine Freude",Johann Sebastian Bach,Eugene Ormandy,The Philadelphia Orchestra,1947,1
22,4,4,"Wachet auf, ruft uns die Stimme, BWV 645",Johann Sebastian Bach,Eugene Ormandy,The Philadelphia Orchestra,1947,1
22,5,5,"Water Music, HWV 348-350: I. Allegro",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,6,6,"Water Music, HWV 348-350: II. Andante",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,7,7,"Water Music, HWV 348-350: III. Allegro",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,8,8,"Water Music, HWV 348-350: IV. Air",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,9,9,"Water Music, HWV 348-350: V. Bourrée",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,10,10,"Water Music Suite no. 1 in F major, HWV 348",George Frideric Handel,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,11,11,"Water Music, HWV 348-350: VII. Allegro deciso",Eugene Ormandy,Eugene Ormandy,The Philadelphia Orchestra,1946,1
22,12,12,"Concerto for Trumpets and Horns in D major, HWV 335a: I. Largo / III. Allegro ma non troppo / II. Allegro",George Frideric Handel,Eugene Ormandy,The Philadelphia Orchestra,1945,1
22,13,15,Suite for Strings,Arcangelo Corelli,Eugene Ormandy,The Philadelphia Orchestra,1947,3
23,1,3,Nobilissima visione,Paul Hindemith,Eugene Ormandy,The Philadelphia Orchestra,1947,3
23,4,7,Symphonic Metamorphosis after Themes by Carl Maria von Weber,Paul Hindemith,George Szell,The Cleveland Orchestra,1947,4
24,1,3,"Piano Concerto no. 3 in E major, Sz. 119, BB 127",Béla Bartók,Eugene Ormandy,The Philadelphia Orchestra,1946,3
24,4,4,"Symphony no. 21 in F-sharp minor, op. 51: Andante sostenuto - Allegro non troppo, ma con impeto - Poco meno mosso (quasi Andante) - Allegro I - Più vivo e poco agitato - Più largamente (quasi Andante) - Allegro I - Poco meno moss (quasi Andante) - Tempo I",Николай Яковлевич Мясковский,Eugene Ormandy,The Philadelphia Orchestra,1947,1
25,1,7,"Alexander Nevsky, op. 78",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1945,7
25,8,11,"Symphony no. 1 in D major, op. 25 “Classical”",Сергей Сергеевич Прокофьев,Eugene Ormandy,The Philadelphia Orchestra,1946,4
25,12,12,"Russian Easter Festival, op. 36",Николай Андреевич Римский‐Корсаков,Eugene Ormandy,The Philadelphia Orchestra,1946,1
26,1,3,"Concerto for Violin and Orchestra in D major, op. 35",Пётр Ильич Чайковский,Alexander Hilsberg,The Philadelphia Orchestra,1949,3
26,4,6,"Cello Concerto no. 1 in A minor, op. 33",Camille Saint‐Saëns,Alexander Hilsberg,The Philadelphia Orchestra,1949,3
27,1,3,Louisiana Story Suite,Virgil Thomson,Eugene Ormandy,The Philadelphia Orchestra,1949,3
27,4,8,5 Portraits,Virgil Thomson,Virgil Thomson,The Philadelphia Orchestra,1945,5
27,9,11,"Three Fragments from ""Wozzeck""",Alban Berg,Eugene Ormandy,The Philadelphia Orchestra,1947,3
27,12,15,Children's Symphony,Harl McDonald,Harl McDonald,The Philadelphia Orchestra,1950,4
27,16,16,The Wonderful One-Hoss Shay,Max Brand,Eugene Ormandy,The Philadelphia Orchestra,1950,1
28,1,4,"Symphony no. 101 in D major, Hob. I:101 “Clock”",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1949,4
28,5,8,"Symphony no. 92 in G major, Hob. I:92 ""Oxford""",Joseph Haydn,George Szell,The Cleveland Orchestra,1949,4
28,9,12,"Symphony no. 88 in G major, Hob. I:88",Joseph Haydn,Eugene Ormandy,The Philadelphia Orchestra,1947,4
29,1,4,Rapsodie espagnole,Maurice Ravel,Eugene Ormandy,The Philadelphia Orchestra,1950,4
29,5,10,Háry János Suite,Kodály Zoltán,Eugene Ormandy,The Philadelphia Orchestra,1946,6
